episode,reward,success,alpha,ep_avg_actor_loss,ep_avg_critic_loss,buffer_size,total_steps
1,-299.9519150325024,0,0.20000000298023224,nan,nan,138,138
2,-104.87695867478149,0,0.20000000298023224,nan,nan,266,266
3,-244.01072781414973,0,0.20000000298023224,nan,nan,398,398
4,-272.6214666894215,0,0.20000000298023224,nan,nan,537,537
5,-269.52488710279687,0,0.20000000298023224,nan,nan,678,678
6,-132.82414185586038,0,0.20000000298023224,nan,nan,804,804
7,-485.23492682836246,0,0.20000000298023224,nan,nan,973,973
8,-296.6130387515757,0,0.1941145360469818,1.2517465445441458,91.8282954018071,1106,1106
9,-277.655787770281,0,0.18971574306488037,0.7153509682001069,70.50264690458313,1235,1235
10,-109.77308007509463,0,0.18393351137638092,0.3912200139594727,55.326876692220466,1382,1382
11,540.2123769388256,1,0.18180543184280396,0.09777040620419113,59.9995979829268,1437,1437
12,-137.12787380329715,0,0.17729085683822632,-0.41372457577381283,301.264380030334,1565,1565
13,267.16588197670467,1,0.17414505779743195,-1.0846123161257073,224.12504529649286,1722,1722
14,579.0357782051736,1,0.1739138960838318,-1.8854598946431105,273.2741484361536,1756,1756
15,-197.64366256173832,0,0.17509643733501434,-3.0033727135658266,604.5196815185546,1881,1881
16,240.81599352632182,1,0.17704348266124725,-4.093884356478427,450.0537445595924,1975,1975
17,-340.7381411276207,1,0.18572011590003967,-6.489974207222744,565.3577604022636,2186,2186
18,-406.2781732606642,0,0.19480158388614655,-10.143477442770294,558.6901317365242,2351,2351
19,-11.611345189986558,0,0.20272037386894226,-13.249063735617732,392.7586454377139,2484,2484
20,-166.14351070621504,0,0.21396993100643158,-15.568686423943056,412.06286679094995,2655,2655
21,-244.3465660505901,0,0.22448831796646118,-18.169951705045477,352.40596964192946,2827,2827
22,291.15406947225307,1,0.22979973256587982,-20.822070879813953,368.94466595771985,2905,2905
23,574.4212032175743,1,0.23321707546710968,-22.335702345106338,307.84491577148435,2950,2950
24,-234.5531575050748,0,0.24930167198181152,-24.09176430727709,401.8173428295768,3137,3137
25,49.8961318641542,0,0.259172260761261,-26.087384541829426,404.623514708098,3248,3248
26,17.64080257316843,0,0.2712062895298004,-27.994323914139358,431.1736234029134,3383,3383
27,249.96987408420605,1,0.2818591594696045,-30.472682235437794,318.6161616264133,3492,3492
28,603.0196578799109,1,0.28452759981155396,-33.87805564880371,436.9339247131348,3517,3517
29,-430.28901476318583,0,0.31342774629592896,-39.62471424385353,367.277960840861,3787,3787
30,564.8853448907689,1,0.32053446769714355,-46.63530743311322,336.2579386877635,3850,3850
31,-53.31099172226432,0,0.3421584367752075,-51.371585394948575,346.0105071983901,4053,4053
32,-100.30634128923938,0,0.35690873861312866,-57.888493451205164,327.3088167363947,4207,4207
33,591.2631613937575,1,0.3596869111061096,-60.75227290186389,268.81330227029736,4236,4236
34,-67.5157651140669,0,0.37898552417755127,-64.83432201586271,277.4884618859542,4426,4426
35,599.3472733944294,1,0.38224494457244873,-67.45731985569,316.1475383043289,4458,4458
36,551.8390671279191,1,0.38637402653694153,-70.31380743729441,262.25785335741546,4496,4496
37,557.6922242701984,1,0.39030787348747253,-70.68402862548828,315.7612379921807,4532,4532
38,602.350351888814,1,0.39299508929252625,-70.8073008610652,257.04838253901556,4558,4558
39,-597.7458495714714,1,0.40976688265800476,-74.64499117198743,318.96199331785505,4710,4710
40,591.3576128408503,1,0.41306257247924805,-77.02067513301455,276.31870927481816,4739,4739
41,600.412195930162,1,0.41685694456100464,-78.62791196761593,358.77452456566596,4770,4770
42,596.2283677747573,1,0.4205392301082611,-78.87487240495354,301.8900260925293,4799,4799
43,585.6105491706339,1,0.42413130402565,-80.30286560058593,329.4642411549886,4829,4829
44,602.3507388712155,1,0.4276081621646881,-81.40519036187067,337.85332192314996,4856,4856
