episode,reward,avg_team_return,success,noise_sigma,ep_avg_critic_loss,ep_avg_actor_loss,buffer_size,steps,collisions,waypoints_visited,greedy_reward,greedy_success,greedy_waypoints_visited
1,1141.07672727108,1141.07672727108,1,0.34972,nan,nan,45,45,0,10,nan,,
2,1194.7161808609962,1194.7161808609962,1,0.34944022399999997,nan,nan,83,38,0,10,nan,,
3,1201.664831519127,1201.664831519127,1,0.34916067182079996,nan,nan,117,34,0,10,nan,,
4,1024.948841869831,1024.948841869831,1,0.3488813432833433,nan,nan,185,68,20,10,nan,,
5,1109.0161019563675,1109.0161019563675,1,0.3486022382087166,nan,nan,243,58,0,10,nan,,
6,1052.2493535280228,1052.2493535280228,1,0.34832335641814965,nan,nan,317,74,0,10,nan,,
7,1249.9328141212463,1249.9328141212463,1,0.3480446977330151,nan,nan,355,38,0,10,nan,,
8,1172.2019416093826,1172.2019416093826,1,0.3477662619748287,nan,nan,413,58,0,10,nan,,
9,1112.0276216864586,1112.0276216864586,1,0.3474880489652488,nan,nan,473,60,0,10,nan,,
10,1099.8653476834297,1099.8653476834297,1,0.3472100585260766,nan,nan,533,60,0,10,nan,,
11,1143.9863160848618,1143.9863160848618,1,0.3469322904792557,nan,nan,593,60,0,10,nan,,
12,1159.9910486340523,1159.9910486340523,1,0.3466547446468723,nan,nan,636,43,0,10,nan,,
13,1238.9625971913338,1238.9625971913338,1,0.3463774208511548,nan,nan,673,37,0,10,nan,,
14,1119.0833551883698,1119.0833551883698,1,0.34610031891447385,nan,nan,738,65,0,10,nan,,
15,1154.079935848713,1154.079935848713,1,0.3458234386593423,nan,nan,824,86,0,10,nan,,
16,1215.3793797791004,1215.3793797791004,1,0.3455467799084148,nan,nan,864,40,0,10,nan,,
17,1113.6515561938286,1113.6515561938286,1,0.34527034248448807,nan,nan,922,58,0,10,nan,,
18,1213.3466114401817,1213.3466114401817,1,0.34499412621050046,nan,nan,978,56,0,10,nan,,
19,1131.396393597126,1131.396393597126,1,0.3447181309095321,nan,nan,1047,69,0,10,nan,,
20,1155.579418361187,1155.579418361187,1,0.3444423564048044,nan,nan,1101,54,0,10,nan,,
21,1085.170577764511,1085.170577764511,1,0.34416680251968057,nan,nan,1164,63,10,10,nan,,
22,1237.5890466570854,1237.5890466570854,1,0.3438914690776648,nan,nan,1205,41,0,10,nan,,
23,1102.185484945774,1102.185484945774,1,0.3436163559024027,nan,nan,1264,59,0,10,nan,,
24,1160.4875992536545,1160.4875992536545,1,0.34334146281768074,nan,nan,1326,62,0,10,nan,,
25,1221.1633024215698,1221.1633024215698,1,0.3430667896474266,nan,nan,1367,41,0,10,nan,,
26,992.0846653580666,992.0846653580666,1,0.34279233621570865,nan,nan,1461,94,1,10,nan,,
27,1125.912025153637,1125.912025153637,1,0.3425181023467361,nan,nan,1525,64,0,10,nan,,
28,1179.3099308013916,1179.3099308013916,1,0.34224408786485866,nan,nan,1579,54,0,10,nan,,
29,1189.3567256331444,1189.3567256331444,1,0.34197029259456674,nan,nan,1632,53,0,10,nan,,
30,1159.706829547882,1159.706829547882,1,0.3416967163604911,nan,nan,1684,52,0,10,nan,,
31,1098.585500240326,1098.585500240326,1,0.34142335898740267,nan,nan,1750,66,0,10,nan,,
32,1064.2387085556984,1064.2387085556984,1,0.34115022030021275,nan,nan,1825,75,0,10,nan,,
33,1183.8072912693024,1183.8072912693024,1,0.34087730012397255,nan,nan,1880,55,0,10,nan,,
34,1233.9995362758636,1233.9995362758636,1,0.34060459828387335,nan,nan,1928,48,0,10,nan,,
35,1227.0689170360565,1227.0689170360565,1,0.34033211460524626,nan,nan,1966,38,0,10,nan,,
36,1227.4844016432762,1227.4844016432762,1,0.34005984891356206,nan,nan,2011,45,0,10,nan,,
37,1164.85840934515,1164.85840934515,1,0.3397878010344312,nan,nan,2074,63,0,10,nan,,
38,1085.7736270427704,1085.7736270427704,1,0.3395159707936036,nan,nan,2153,79,0,10,nan,,
39,1083.671570301056,1083.671570301056,1,0.33924435801696873,nan,nan,2215,62,0,10,nan,,
40,1076.8469537496567,1076.8469537496567,1,0.33897296253055514,nan,nan,2289,74,4,10,nan,,
41,1181.7815915346146,1181.7815915346146,1,0.3387017841605307,nan,nan,2343,54,6,10,nan,,
42,1193.7795327305794,1193.7795327305794,1,0.3384308227332023,nan,nan,2386,43,0,10,nan,,
43,1127.3384552001953,1127.3384552001953,1,0.33816007807501575,nan,nan,2444,58,0,10,nan,,
44,1135.3710741996765,1135.3710741996765,1,0.3378895500125557,nan,nan,2507,63,0,10,nan,,
45,1002.425156891346,1002.425156891346,1,0.33761923837254565,nan,nan,2584,77,1,10,nan,,
46,1148.9564051628113,1148.9564051628113,1,0.3373491429818476,nan,nan,2630,46,0,10,nan,,
47,1046.0073127746582,1046.0073127746582,1,0.3370792636674621,nan,nan,2700,70,0,10,nan,,
48,1093.4447168707848,1093.4447168707848,1,0.3368096002565281,nan,nan,2775,75,0,10,nan,,
49,1105.757096529007,1105.757096529007,1,0.3365401525763229,nan,nan,2836,61,0,10,nan,,
50,1157.8277370929718,1157.8277370929718,1,0.3362709204542618,nan,nan,2896,60,0,10,nan,,
51,1189.8312406539917,1189.8312406539917,1,0.3360019037178984,nan,nan,2938,42,0,10,nan,,
52,1123.7073159217834,1123.7073159217834,1,0.3357331021949241,nan,nan,3003,65,0,10,nan,,
53,1191.297681927681,1191.297681927681,1,0.33546451571316815,nan,nan,3052,49,0,10,nan,,
54,1221.9187232255936,1221.9187232255936,1,0.3351961441005976,nan,nan,3104,52,0,10,nan,,
55,1222.8802656531334,1222.8802656531334,1,0.33492798718531713,nan,nan,3141,37,0,10,nan,,
56,1161.0168795585632,1161.0168795585632,1,0.3346600447955689,nan,nan,3187,46,0,10,nan,,
57,1174.50058811903,1174.50058811903,1,0.3343923167597324,nan,nan,3231,44,0,10,nan,,
58,1176.1185187399387,1176.1185187399387,1,0.3341248029063246,nan,nan,3277,46,0,10,nan,,
59,1173.854684829712,1173.854684829712,1,0.3338575030639996,nan,nan,3323,46,0,10,nan,,
60,1143.1301040053368,1143.1301040053368,1,0.33359041706154835,nan,nan,3369,46,0,10,nan,,
61,1123.1034550070763,1123.1034550070763,1,0.3333235447278991,nan,nan,3419,50,0,10,nan,,
62,1152.2839340567589,1152.2839340567589,1,0.3330568858921168,nan,nan,3483,64,0,10,nan,,
63,1160.0624306797981,1160.0624306797981,1,0.3327904403834031,nan,nan,3550,67,0,10,nan,,
64,1155.8470528125763,1155.8470528125763,1,0.3325242080310964,nan,nan,3605,55,12,10,nan,,
65,1113.6652537584305,1113.6652537584305,1,0.3322581886646715,nan,nan,3672,67,0,10,nan,,
66,1119.6179497241974,1119.6179497241974,1,0.33199238211373977,nan,nan,3732,60,0,10,nan,,
67,1191.8937269449234,1191.8937269449234,1,0.3317267882080488,nan,nan,3799,67,0,10,nan,,
68,1094.2023317813873,1094.2023317813873,1,0.33146140677748237,nan,nan,3872,73,0,10,nan,,
69,1104.2752934098244,1104.2752934098244,1,0.33119623765206035,nan,nan,3943,71,2,10,nan,,
70,1164.4560716152191,1164.4560716152191,1,0.3309312806619387,nan,nan,4023,80,0,10,nan,,
71,1053.978408396244,1053.978408396244,1,0.33066653563740916,nan,nan,4102,79,2,10,nan,,
72,1083.3518529832363,1083.3518529832363,1,0.3304020024088992,nan,nan,4177,75,0,10,nan,,
73,1110.4479330182076,1110.4479330182076,1,0.3301376808069721,nan,nan,4248,71,0,10,nan,,
74,1166.0928376317024,1166.0928376317024,1,0.3298735706623265,nan,nan,4316,68,0,10,nan,,
75,1164.939491391182,1164.939491391182,1,0.3296096718057966,nan,nan,4381,65,0,10,nan,,
76,1196.0217993855476,1196.0217993855476,1,0.32934598406835197,nan,nan,4436,55,0,10,nan,,
77,1094.1303300857544,1094.1303300857544,1,0.3290825072810973,nan,nan,4528,92,6,10,nan,,
78,1221.6971688270569,1221.6971688270569,1,0.3288192412752724,nan,nan,4564,36,0,10,nan,,
79,1077.7464153170586,1077.7464153170586,1,0.32855618588225216,nan,nan,4653,89,0,10,nan,,
80,1181.7612735033035,1181.7612735033035,1,0.32829334093354634,nan,nan,4707,54,0,10,nan,,
81,1055.734072983265,1055.734072983265,1,0.3280307062607995,nan,nan,4794,87,3,10,nan,,
82,1120.1425897479057,1120.1425897479057,1,0.32776828169579086,nan,nan,4880,86,0,10,nan,,
83,1086.7607466578484,1086.7607466578484,1,0.3275060670704342,nan,nan,4946,66,0,10,nan,,
84,1171.3608884215355,1171.3608884215355,1,0.3272440622167779,nan,nan,4993,47,0,10,nan,,
85,1071.446594297886,1071.446594297886,1,0.32698226696700444,0.1141655897455556,0.30564642058951513,5055,62,4,10,nan,,
86,1150.3210064172745,1150.3210064172745,1,0.32672068115343084,0.11438975076338179,0.25162263049019706,5128,73,0,10,nan,,
87,1142.7801705598831,1142.7801705598831,1,0.3264593046085081,0.09691492195885915,0.21759129102740968,5180,52,0,10,nan,,
88,1056.9963391423225,1056.9963391423225,1,0.32619813716482127,0.10973167664518482,0.15977529022428724,5256,76,0,10,nan,,
89,944.5690693855286,944.5690693855286,1,0.3259371786550894,0.10475239263226589,0.10041945601503054,5376,120,0,10,nan,,
90,1020.5734954476357,1020.5734954476357,1,0.32567642891216536,0.08652648581739734,0.05453628798325857,5444,68,0,10,nan,,
91,1135.3738718032837,1135.3738718032837,1,0.3254158877690356,0.10173404387508829,0.01248788150648276,5493,49,0,10,nan,,
92,1195.5633375644684,1195.5633375644684,1,0.3251555550588204,0.09045938808809627,-0.0032426141202449798,5536,43,1,10,nan,,
93,1073.6352874040604,1073.6352874040604,1,0.32489543061477333,0.09631503808001678,-0.05490984643499056,5584,48,27,10,nan,,
94,1194.445497751236,1194.445497751236,1,0.3246355142702815,0.09406104104386435,-0.06915014237165451,5620,36,0,10,nan,,
95,1066.7877823114395,1066.7877823114395,1,0.3243758058588652,0.08592175183196862,-0.10752868226596288,5683,63,0,10,nan,,
96,1207.996039032936,1207.996039032936,1,0.3241163052141781,0.09117208586798774,-0.1446382112801075,5716,33,0,10,nan,,
97,1110.8880286812782,1110.8880286812782,1,0.3238570121700068,0.08229049583896994,-0.1694048263132572,5759,43,3,10,nan,,
98,1057.6623190641403,1057.6623190641403,1,0.32359792656027075,0.08139722769459089,-0.17320892161556653,5816,57,2,10,nan,,
99,1056.976532638073,1056.976532638073,1,0.32333904821902254,0.08590185482587133,-0.19839612767100334,5872,56,0,10,nan,,
100,1150.6183032989502,1150.6183032989502,1,0.32308037698044734,0.08281589555554092,-0.2434864044189453,5907,35,0,10,nan,,
101,1107.8719042539597,1107.8719042539597,1,0.32282191267886295,0.08770724742983778,-0.2728434664507707,5953,46,0,10,nan,,
102,1132.617783486843,1132.617783486843,1,0.3225636551487199,0.08166940653553376,-0.2544358681355204,6004,51,1,10,nan,,
103,1107.366639316082,1107.366639316082,1,0.3223056042246009,0.08631288213655353,-0.31254628611107665,6053,49,10,10,nan,,
104,1193.2628922462463,1193.2628922462463,1,0.32204775974122124,0.07586956559680402,-0.30469100177288055,6085,32,0,10,nan,,
105,1195.8719789981842,1195.8719789981842,1,0.32179012153342823,0.0752520009668337,-0.3240381879732013,6122,37,0,10,nan,,
106,1187.1474880576134,1187.1474880576134,1,0.3215326894362015,0.07708285107380813,-0.32888446673750876,6156,34,0,10,nan,,
107,1180.7603057026863,1180.7603057026863,1,0.3212754632846525,0.07049289857968688,-0.3682450093328953,6191,35,0,10,nan,,
108,1196.896624326706,1196.896624326706,1,0.32101844291402476,0.07120985223446041,-0.3591282553970814,6222,31,0,10,nan,,
109,1196.1180044412613,1196.1180044412613,1,0.32076162815969356,0.06793066766113043,-0.36714124493300915,6252,30,0,10,nan,,
110,1162.689168393612,1162.689168393612,1,0.3205050188571658,0.08534899809294277,-0.412649555131793,6288,36,0,10,nan,,
111,1147.8901177048683,1147.8901177048683,1,0.32024861484208006,0.0707057672035363,-0.41924708485603335,6327,39,0,10,nan,,
112,1177.288275897503,1177.288275897503,1,0.3199924159502064,0.07387953406820695,-0.4317213911563158,6361,34,0,10,nan,,
113,1233.0140143036842,1233.0140143036842,1,0.31973642201744623,0.07674532942473888,-0.4386700416604678,6385,24,0,10,nan,,
114,1184.6547624468803,1184.6547624468803,1,0.31948063287983225,0.08053790014237165,-0.4810632482171059,6426,41,0,10,nan,,
115,1109.4104286432266,1109.4104286432266,1,0.3192250483735284,0.0679116362395386,-0.4646744951605797,6472,46,0,10,nan,,
116,1199.5142228007317,1199.5142228007317,1,0.31896966833482954,0.06381214543112687,-0.49596267752349377,6500,28,0,10,nan,,
117,1205.851999104023,1205.851999104023,1,0.31871449260016166,0.0650055023143068,-0.5356573071330786,6535,35,3,10,nan,,
118,1227.7895967960358,1227.7895967960358,1,0.31845952100608155,0.05663875676691532,-0.5629663889606794,6560,25,0,10,nan,,
119,1197.221992969513,1197.221992969513,1,0.3182047533892767,0.0729504517512396,-0.556994691491127,6593,33,0,10,nan,,
120,1206.2312070727348,1206.2312070727348,1,0.31795018958656524,0.0681306788076957,-0.5487305268645286,6628,35,4,10,nan,,
121,1147.5354229211807,1147.5354229211807,1,0.317695829434896,0.06542914515982072,-0.5806342326104641,6666,38,8,10,nan,,
122,1261.9472572803497,1261.9472572803497,1,0.31744167277134805,0.05735144577920437,-0.6002271349231402,6690,24,0,10,nan,,
123,1181.6607843637466,1181.6607843637466,1,0.31718771943313095,0.06270255417459542,-0.6127413496375084,6724,34,1,10,nan,,
124,1221.1163485646248,1221.1163485646248,1,0.31693396925758444,0.06783083254205328,-0.6057450125614802,6753,29,0,10,nan,,
125,1168.8195946216583,1168.8195946216583,1,0.31668042208217834,0.062278101802803576,-0.5984717831015587,6787,34,0,10,nan,,
126,1168.4133286476135,1168.4133286476135,1,0.31642707774451256,0.05730774812400341,-0.6076163835823536,6818,31,4,10,nan,,
127,1166.2930439710617,1166.2930439710617,1,0.3161739360823169,0.062470445616377726,-0.6573526188731194,6854,36,0,10,nan,,
128,1238.0601652264595,1238.0601652264595,1,0.31592099693345105,0.056849787277834754,-0.6867122153441111,6880,26,0,10,nan,,
129,1130.2411805391312,1130.2411805391312,1,0.31566826013590427,0.05774255045172241,-0.7143321603536605,6916,36,0,10,nan,,
130,1008.5873381495476,1008.5873381495476,1,0.3154157255277955,0.05531221868780752,-0.7196289996306101,6966,50,18,10,nan,,
131,1216.2890228033066,1216.2890228033066,1,0.3151633929473733,0.0670638776251248,-0.7030285646518072,6993,27,0,10,nan,,
132,1227.1570816636086,1227.1570816636086,1,0.31491126223301535,0.05111491759972913,-0.7142514735460281,7020,27,0,10,nan,,
133,1250.6099272966385,1250.6099272966385,1,0.3146593332232289,0.06182765606790781,-0.6597993075847626,7041,21,2,10,nan,,
134,1249.460894882679,1249.460894882679,1,0.31440760575665033,0.043091397965326905,-0.7377124478419622,7064,23,0,10,nan,,
135,1184.8714501857758,1184.8714501857758,1,0.314156079672045,0.052515318675432354,-0.775123406201601,7097,33,0,10,nan,,
136,1244.6869223117828,1244.6869223117828,1,0.3139047548083074,0.04893326681728164,-0.7824796835581461,7122,25,0,10,nan,,
137,1127.5077658295631,1127.5077658295631,1,0.3136536310044607,0.05424789855764671,-0.7881458227833112,7164,42,2,10,nan,,
138,1235.5771479606628,1235.5771479606628,1,0.31340270809965715,0.052559763725314824,-0.8182779004176458,7193,29,2,10,nan,,
139,1247.3402913808823,1247.3402913808823,1,0.3131519859331774,0.059026752753804125,-0.8363251090049744,7218,25,0,10,nan,,
140,1244.6751465797424,1244.6751465797424,1,0.31290146434443084,0.05483169760555029,-0.8529878333210945,7246,28,0,10,nan,,
141,1245.7907646894455,1245.7907646894455,1,0.3126511431729553,0.049607884511351584,-0.8230819553136826,7267,21,0,10,nan,,
142,1239.6110822558403,1239.6110822558403,1,0.3124010222584169,0.05281839845702052,-0.8720586399237314,7290,23,0,10,nan,,
143,1088.1315811276436,1088.1315811276436,1,0.3121511014406102,0.052899066104807636,-0.8727811028560003,7334,44,0,10,nan,,
144,1185.5264922976494,1185.5264922976494,1,0.3119013805594577,0.05499140184838325,-0.8905824460089207,7365,31,0,10,nan,,
145,1172.9368830919266,1172.9368830919266,1,0.3116518594550101,0.062129956004875045,-0.966567188501358,7392,27,0,10,nan,,
146,1228.0630019903183,1228.0630019903183,1,0.3114025379674461,0.056272896782805525,-0.8943978399038315,7416,24,0,10,nan,,
147,1171.460303902626,1171.460303902626,1,0.31115341593707213,0.05473496450576931,-1.0016128420829773,7449,33,0,10,nan,,
148,1218.8206688165665,1218.8206688165665,1,0.31090449320432245,0.04451567865908146,-1.0064766506354015,7472,23,2,10,nan,,
149,1150.6418716907501,1150.6418716907501,1,0.310655769609759,0.048252010194119066,-0.9660052545368671,7505,33,0,10,nan,,
150,1259.5147088766098,1259.5147088766098,1,0.3104072449940712,0.05696165412664413,-1.05449877679348,7527,22,0,10,nan,,
151,1182.6630798578262,1182.6630798578262,1,0.3101589191980759,0.04943797050509602,-0.9784278906881809,7558,31,0,10,nan,,
152,1217.9385361671448,1217.9385361671448,1,0.30991079206271743,0.04775766549365861,-0.9852585146824518,7584,26,0,10,nan,,
153,1246.6675946712494,1246.6675946712494,1,0.30966286342906724,0.042508471136291824,-1.0681673139333725,7609,25,0,10,nan,,
154,1159.3126611709595,1159.3126611709595,1,0.309415133138324,0.04910472920164466,-1.0578695051372051,7640,31,0,10,nan,,
155,1210.130621433258,1210.130621433258,1,0.3091676010318133,0.04818090610206127,-1.09551203250885,7669,29,0,10,nan,,
156,1233.027610361576,1233.027610361576,1,0.30892026695098784,0.04056705574371985,-1.0640929887692134,7699,30,0,10,nan,,
157,1241.8634074926376,1241.8634074926376,1,0.308673130737427,0.0516516992024013,-1.0979604870080948,7724,25,0,10,nan,,
158,1252.33292222023,1252.33292222023,1,0.30842619223283707,0.05371510935947299,-1.0775381475687027,7741,17,0,10,nan,,
